StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID    
C87          cd           28.0         18.0         -2.0         61.0         134.0        10.0         C92          
C88          cp           26.0         52.0         9.0          21.0         136.0        10.0         C46          
C89          cd           26.0         35.0         -28.0        68.0         211.0        10.0         C59          
C90          cd           31.0         67.0         -9.0         46.0         153.0        10.0         C52          
C91          cd           15.0         19.0         -20.0        70.0         194.0        10.0         C14          
C92          cp           22.0         22.0         2.0          18.0         159.0        10.0         C87          
C93          cd           18.0         24.0         -41.0        60.0         199.0        10.0         C85          
C94          cp           26.0         27.0         27.0         58.0         151.0        10.0         C84          
C95          cp           25.0         24.0         20.0         14.0         143.0        10.0         C99          
C96          cd           22.0         27.0         -19.0        89.0         190.0        10.0         C16          
C97          cd           25.0         21.0         -7.0         92.0         183.0        10.0         C43          
C98          cp           19.0         21.0         10.0         21.0         142.0        10.0         C57          
C99          cd           20.0         26.0         -20.0        33.0         142.0        10.0         C95          
C100         cp           18.0         18.0         17.0         51.0         195.0        0.0          C102         
C101         cd           46.0         13.0         -8.0         74.0         195.0        10.0         C74          
C102         cd           18.0         18.0         -17.0        51.0         195.0        10.0         C100         
C103         cd           56.0         37.0         -6.0         73.0         198.0        10.0         C80          
C104         cd           13.0         52.0         -36.0        65.0         192.0        10.0         C48          
C105         cd           45.0         65.0         -9.0         79.0         182.0        10.0         C20          
C106         cd           55.0         54.0         -26.0        57.0         140.0        10.0         C81          

Vehicle battery capacity : 65.48
Vehicle freight capacity : 200.0
battery consumption rate : 1.0
inverse recharging rate : 0.46
average velocity : 1.0
